"id","participant_id","perceived_difficulty","perceived_pressure","perceived_realism","perceived_engagement","confidence_after","decision_pressure","urgency_influence","qual_post1","qual_post2","qual_post3","submitted_at"
"1","CQ_69e0a780e7c9d8.63775195","Moderately difficult","Moderate pressure","Very realistic","Very engaging","Very confident","Moderately confident","Strongly","Urgency, not fully reading email, mainly focusing on sender address due to time.","Royal Mail, required a few more seconds to properly judge.","I may ignore less going forward as I currently do this with 99% of incoming emails.","2026-04-16 09:18:04"
"3","CQ_69ea1d986e0a06.73371748","Moderately difficult","High pressure","Extremely realistic","Very engaging","Very confident","Very confident","Strongly","Checking the email address as first point of call. If suspicious, immediately flag it.","Uni of Glos reward check.","Will be more vigilant and check addresses even more thoroughly than current.","2026-04-23 13:30:58"
"4","CQ_69eb568b9a13e4.29231270","Difficult","High pressure","Moderately realistic","Very engaging","Moderately confident","Slightly confident","Very strongly","I think when there was rewarding situations it instantly made me cautious of clicking 'yes' ","Verification of a connection made to the account, as I found that challenging without context. ","Yes, its has made me think more about how time pressure influencing thinking and decision making when dealing with suspicious links. ","2026-04-24 11:50:38"
"5","CQ_69eb5988dd8131.07055146","Moderately difficult","High pressure","Slightly realistic","Moderately engaging","Moderately confident","Not confident at all","Very strongly","Urgency ","Round 3 the first question, trying to read it all clearly before making a decision in the time limit","Yes, take my time think about it more ","2026-04-24 11:59:58"
"6","CQ_69eb5a15ca76b5.64671912","Moderately difficult","High pressure","Slightly realistic","Very engaging","Very confident","Moderately confident","Very strongly","The giant countdown clock did a lot of the heavy lifting for applying pressure. ","Most were difficult to focus on due to the countdown being a distraction for me personally.","No, anything in the real world that had that level of time sensitivity pushed I would assume to be spam / scam and delete / block. In real situations reviewing links to verify they appear legitimate, reviewing the message headers for e-mails to verify authenticity and reviewing scoring for things like SPF and DKIM are all things I'd be doing if I was actually on the fence about the legitimacy or again if I knew the person contacting me I'd call / engage them over an alternate means of communications. ","2026-04-24 12:05:22"
"7","CQ_69eb5b6df2ba88.75091842","Moderately difficult","Moderate pressure","Very realistic","Very engaging","Not confident at all","Not confident at all","Moderately","authority ","all","yes","2026-04-24 12:07:04"
"8","CQ_69eb5bdd678522.83480570","Easy","Slight pressure","Slightly realistic","Slightly engaging","Very confident","Very confident","Slightly","Urgency, consequence-based wording, the fact that I did not expect any of those messages.","None","No.","2026-04-24 12:21:43"
"9","CQ_69eb5eb35f8b01.14387154","Moderately difficult","High pressure","Moderately realistic","Very engaging","Moderately confident","Slightly confident","Very strongly","I recognise SharePoint as it is something I used and thought it would be correct even though i didnâ€™t read it properly. Without a time limit i would have checked thoroughly who sent it. ","The last round. Less time and difficult to ascertain if they were real or not","If in doubt, donâ€™t open it. And try and doubt everything unless youâ€™re absolutely certain. ","2026-04-24 12:23:38"
"10","CQ_69eb7332279ee5.61389614","Easy","Slight pressure","Not realistic at all","Slightly engaging","Very confident","Moderately confident","Not at all","Incorrect spelling in emails or body text, urgency","None of the scenarios had links or buttons, so if an email prompted me to ""review sign in attempts"" I would go through the official way of doing that on the microsoft website, I wouldn't click the link in the email","No, I was and will remain vigilant","2026-04-24 13:49:43"
"11","CQ_69eb74351912b6.40379520","Very easy","Moderate pressure","Very realistic","Very engaging","Very confident","Very confident","Moderately","Urgency","Shared file as its often a email I get. I still ignore them to login to the service and access the file.","No, I will continue to ignore most communications and instead log into the portals","2026-04-24 13:58:46"
